"","filing","ctry_inv","variable","value","ctry_name"
"171",2017,"CA","mrna_pharma_i",0.0978886756238004,"Canada"
"172",2017,"CN","mrna_pharma_i",0.0700564971751412,"China"
"173",2017,"DE","mrna_pharma_i",0.119094488188976,"Germany"
"174",2017,"ES","mrna_pharma_i",0.0689655172413793,"Spain"
"175",2017,"FR","mrna_pharma_i",0.0700280112044818,"France"
"176",2017,"GB","mrna_pharma_i",0.0686164229471316,"United Kingdom"
"177",2017,"IT","mrna_pharma_i",0.0409356725146199,"Italy"
"178",2017,"JP","mrna_pharma_i",0.0408376963350785,"Japan"
"179",2017,"KR","mrna_pharma_i",0.0599315068493151,"South Korea"
"180",2017,"SE","mrna_pharma_i",0.0856031128404669,"Sweden"
"181",2018,"CH","mrna_pharma_i",0.0417391304347826,"Switzerland"
"182",2018,"SE","mrna_pharma_i",0.0578512396694215,"Sweden"
"183",2018,"US","mrna_pharma_i",0.0968379446640316,"United States"
"184",2018,"CA","mrna_pharma_i",0.0618556701030928,"Canada"
"185",2018,"CN","mrna_pharma_i",0.0452261306532663,"China"
"186",2018,"DE","mrna_pharma_i",0.207511737089202,"Germany"
"187",2018,"ES","mrna_pharma_i",0.065359477124183,"Spain"
"188",2018,"FR","mrna_pharma_i",0.0527740189445196,"France"
"189",2018,"GB","mrna_pharma_i",0.0542099192618224,"United Kingdom"
"190",2018,"IT","mrna_pharma_i",0.0342679127725857,"Italy"
"191",2018,"JP","mrna_pharma_i",0.0363247863247863,"Japan"
"192",2018,"KR","mrna_pharma_i",0.0738255033557047,"South Korea"
"193",2019,"US","mrna_pharma_i",0.0860878661087866,"United States"
"194",2019,"CA","mrna_pharma_i",0.0462962962962963,"Canada"
"195",2019,"CH","mrna_pharma_i",0.0465753424657534,"Switzerland"
"196",2019,"CN","mrna_pharma_i",0.0393162393162393,"China"
"197",2019,"DE","mrna_pharma_i",0.24583866837388,"Germany"
"198",2019,"ES","mrna_pharma_i",0.0642201834862385,"Spain"
"199",2019,"FR","mrna_pharma_i",0.0626506024096386,"France"
